Domain,Lipid,Median_Count,Scaled_Median_Count
Chain A Transmembrane Top,CDL2,29.5,7.4
Chain A Transmembrane Top,POPE,32.0,8.0
Chain A Transmembrane Top,POPG,9.0,2.2
Chain B Transmembrane Top,CDL2,28.0,7.0
Chain B Transmembrane Top,POPE,35.0,8.8
Chain B Transmembrane Top,POPG,11.0,2.8
Chain A PEP Domain,CDL2,26.0,13.0
Chain A PEP Domain,POPE,15.0,7.5
Chain A PEP Domain,POPG,6.0,3.0
Chain B PEP Domain,CDL2,24.0,12.0
Chain B PEP Domain,POPE,12.0,6.0
Chain B PEP Domain,POPG,10.0,5.0
Chain A Transmembrane Arm,CDL2,31.5,7.9
Chain A Transmembrane Arm,POPE,22.0,5.5
Chain A Transmembrane Arm,POPG,14.0,3.5
Chain B Transmembrane Arm,CDL2,33.0,8.2
Chain B Transmembrane Arm,POPE,26.0,6.5
Chain B Transmembrane Arm,POPG,9.0,2.2
Chain A Substrate Entrance Channel,CDL2,28.0,7.0
Chain A Substrate Entrance Channel,POPE,18.0,4.5
Chain A Substrate Entrance Channel,POPG,12.0,3.0
Chain B Substrate Entrance Channel,CDL2,21.0,5.2
Chain B Substrate Entrance Channel,POPE,31.0,7.8
Chain B Substrate Entrance Channel,POPG,16.0,4.0
