Domain,Lipid,Median_Count,Scaled_Median_Count
Chain A Transmembrane Top,CDL2,36.0,7.2
Chain A Transmembrane Top,POPE,43.0,8.6
Chain A Transmembrane Top,POPG,14.0,2.8
Chain B Transmembrane Top,CDL2,38.0,7.6
Chain B Transmembrane Top,POPE,40.0,8.0
Chain B Transmembrane Top,POPG,14.0,2.8
Chain A PEP Domain,CDL2,94.0,10.4
Chain A PEP Domain,POPE,73.0,8.1
Chain A PEP Domain,POPG,26.0,2.9
Chain B PEP Domain,CDL2,76.0,8.4
Chain B PEP Domain,POPE,70.0,7.8
Chain B PEP Domain,POPG,46.0,5.1
Chain A Transmembrane Arm,CDL2,56.0,11.2
Chain A Transmembrane Arm,POPE,29.0,5.8
Chain A Transmembrane Arm,POPG,13.0,2.6
Chain B Transmembrane Arm,CDL2,49.0,9.8
Chain B Transmembrane Arm,POPE,42.0,8.4
Chain B Transmembrane Arm,POPG,16.0,3.2
Chain A Substrate Entrance Channel,CDL2,56.0,7.0
Chain A Substrate Entrance Channel,POPE,30.0,3.8
Chain A Substrate Entrance Channel,POPG,5.0,0.6
Chain B Substrate Entrance Channel,CDL2,38.5,4.8
Chain B Substrate Entrance Channel,POPE,30.0,3.8
Chain B Substrate Entrance Channel,POPG,18.0,2.2
